101,102
1011,180
1012,360
1013,40000
1014,40000
1015,40000
1016,40000
1017,40000
1018,15000
1019,0.1
1020,0.8
1021,0
1022,0
1023,0
1024,1
1025,1.5
1026,2
1027,3
1028,4
1029,7500
1030,8000
1031,30107
2001,75600
2002,75600
2003,86400
2004,5
2005,10
2006,5
2007,600
2008,10
2009,2000
2010,
2011,86400
2012,75600
2013,
2014,
2015,
2016,
2017,
2018,40
2019,300
2020,
2021,50
2022,300
2023,200
2024,20
2025,20
2026,14
2027,20
2028,120
2029,
2030,1
2031,1
2032,10
2033,7200
2034,
2035,
2036,
2037,
2038,
2039,40
2040,50
2041,100
2042,5
2043,1
2044,5
2045,5000
2046,5000
2047,2000
2048,5
2049,1
2050,1
2051,2
2052,-1
2053,18000
2054,82800
2055,7200
2056,100
2057,600
2058,100
2059,300
2060,10
2061,10
2062,20
2063,10
2064,5
2065,50
2066,10800
2067,3600
2068,5000
2069,3600
2070,7200
2071,0
2072,7200
2073,10
2074,50
3001,0
3002,10
3003,20
3004,120
3005,120
3006,30006
3007,30008
3008,50
3009,30501
3010,30502
3011,30503
3012,0.5
3013,10
3014,15
3015,25
3016,10
3017,1
4000,20
4001,40
4002,60
4003,80
4004,100
4005,
5001,100
